t1,t2,s1,s2,yd1,yd2,to1,to2,home_team,week
Panthers,Cardinals,34,21,355,320,0,6.0,Cardinals,8
Vikings,Packers,38,26,355,351,2,0.0,Packers,8
Saints,Falcons,35,27,437,442,4,,Saints,8
Colts,Texans,20,17,378,382,2,3.0,Colts,9
Patriots,Dolphins,27,17,432,334,1,0.0,Patriots,9
Bengals,Ravens,17,7,369,215,1,2.0,Bengals,9
Cardinals,Bears,41,21,438,417,1,1.0,Bears,9
Buccaneers,Packers,38,28,279,404,1,3.0,Buccaneers,9
Jaguars,Chiefs,24,21,426,301,1,0.0,Jaguars,9
Falcons,Redskins,31,17,306,312,1,1.0,Falcons,9
Saints,Panthers,30,20,414,371,2,3.0,Saints,9
Seahawks,Lions,32,20,397,300,2,5.0,Seahawks,9
Titans,49ers,34,27,315,358,0,4.0,49ers,9
Chargers,Giants,21,20,226,304,2,1.0,Giants,9
Cowboys,Eagles,20,16,358,297,1,2.0,Eagles,9
Steelers,Broncos,28,10,375,242,2,3.0,Broncos,9
49ers,Bears,10,6,216,350,1,5.0,49ers,10
Saints,Rams,28,23,420,434,3,1.0,Rams,10
Titans,Bills,41,17,378,296,1,2.0,Titans,10
Bengals,Steelers,18,12,218,226,0,1.0,Steelers,10
Redskins,Broncos,27,17,388,305,0,2.0,Redskins,10
Jaguars,Jets,24,22,347,322,1,3.0,Jets,10
Panthers,Falcons,28,19,380,400,0,2.0,Panthers,10
Dolphins,Buccaneers,25,23,374,301,2,2.0,Dolphins,10
Vikings,Lions,27,10,492,297,2,1.0,Vikings,10
Chiefs,Raiders,16,10,318,272,3,2.0,Raiders,10
Cardinals,Seahawks,31,20,462,472,0,2.0,Cardinals,10
Packers,Cowboys,17,7,283,278,0,3.0,Packers,10
Chargers,Eagles,31,23,331,462,0,1.0,Chargers,10
Colts,Patriots,35,34,407,477,2,2.0,Colts,10
Ravens,Browns,16,0,274,160,0,,Browns,10
Dolphins,Panthers,24,17,326,383,0,1.0,Panthers,11
Saints,Buccaneers,38,7,370,219,0,4.0,Buccaneers,11
Chiefs,Steelers,27,24,282,516,1,3.0,Chiefs,11
Colts,Ravens,17,15,375,354,3,2.0,Ravens,11
Packers,49ers,30,24,484,284,0,1.0,Packers,11
Lions,Browns,38,37,473,439,2,0.0,Lions,11
Giants,Falcons,34,31,456,352,1,1.0,Giants,11
Cowboys,Redskins,7,6,305,324,2,1.0,Cowboys,11
Jaguars,Bills,18,15,310,343,2,3.0,Jaguars,11
Vikings,Seahawks,35,9,431,212,0,2.0,Vikings,11
Cardinals,Rams,21,13,444,314,2,1.0,Rams,11
Patriots,Jets,31,14,410,226,1,5.0,Patriots,11
Chargers,Broncos,32,3,348,271,0,3.0,Broncos,11
Raiders,Bengals,20,17,275,348,3,4.0,Raiders,11
